ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10810506,JA109463,01/09/2017 12:30,079XX S KINGSTON AVE,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,FALSE,FALSE,422,4,7,46,5,1194568,1852707,2017,02/10/2018 15:50,41.75075187,-87.56257587,"(41.750751865, -87.562575869)"
10810539,JA108792,01/08/2017 21:00,032XX W OGDEN AVE,930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,FALSE,FALSE,1022,10,24,29,7,1154877,1891254,2017,02/10/2018 15:50,41.8574138,-87.70699373,"(41.857413801, -87.706993734)"
10810626,JA109037,01/05/2017 12:00,005XX N MC CLURG CT,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,1834,18,42,8,11,1179097,1904100,2017,02/10/2018 15:50,41.89214469,-87.61769981,"(41.892144688, -87.617699811)"
10810652,JA109338,01/09/2017 13:45,078XX S GREENWOOD AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,FALSE,FALSE,624,6,8,69,3,1184912,1853242,2017,02/10/2018 15:50,41.75245188,-87.59794281,"(41.752451878, -87.597942812)"
10810659,JA108225,01/08/2017 12:30,061XX S DR MARTIN LUTHER KING JR DR,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,FALSE,FALSE,311,3,20,40,04B,1179974,1864409,2017,02/10/2018 15:50,41.78320968,-87.61569688,"(41.783209684, -87.615696882)"
10810661,JA109410,01/05/2017 21:30,044XX N DAMEN AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,TRUE,FALSE,1911,19,47,4,26,1162212,1929532,2017,02/10/2018 15:50,41.96230143,-87.67899814,"(41.962301425, -87.678998144)"
10810678,JA109270,01/09/2017 10:10,053XX S INDIANA AVE,4651,OTHER OFFENSE,SEX OFFENDER: FAIL REG NEW ADD,OTHER,FALSE,FALSE,231,2,3,40,26,1178505,1869684,2017,02/10/2018 15:50,41.79771831,-87.62092242,"(41.79771831, -87.620922418)"
10810684,JA109182,01/07/2017 15:00,053XX W CHICAGO AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,TAVERN/LIQUOR STORE,FALSE,TRUE,1524,15,37,25,08B,1140417,1904813,2017,02/10/2018 15:50,41.89489865,-87.75973838,"(41.894898651, -87.75973838)"
10810884,JA109520,01/07/2017 9:00,028XX W DEVON AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,ATM (AUTOMATIC TELLER MACHINE),FALSE,FALSE,2413,24,50,2,11,1156278,1942331,2017,02/10/2018 15:50,41.9975448,-87.70046744,"(41.997544797, -87.700467444)"
10810915,JA109660,01/09/2017 12:30,114XX S SAWYER AVE,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,FALSE,2211,22,19,74,5,1156745,1828661,2017,02/10/2018 15:50,41.6856116,-87.70182406,"(41.685611596, -87.701824064)"
10810918,JA110090,01/10/2017 1:00,013XX W 111TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,2234,22,34,75,08B,1169387,1831157,2017,02/10/2018 15:50,41.69219741,-87.65547244,"(41.69219741, -87.655472442)"
10810953,JA109793,01/09/2017 18:45,005XX W FULTON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1214,12,42,28,14,1172538,1902104,2017,02/10/2018 15:50,41.88681513,-87.64184704,"(41.88681513, -87.641847038)"
10811203,JA109346,01/09/2017 13:10,080XX S EUCLID AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,414,4,8,46,14,1190593,1852149,2017,02/10/2018 15:50,41.74931746,-87.57715988,"(41.749317455, -87.577159884)"
10811218,JA110001,01/09/2017 22:15,015XX N TALMAN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,TRUE,FALSE,1423,14,26,24,08B,1158469,1910106,2017,02/10/2018 15:50,41.90907278,-87.69329288,"(41.90907278, -87.693292877)"
10811312,JA110633,01/09/2017 19:00,052XX W CONGRESS PKWY,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,FALSE,TRUE,1522,15,29,25,20,1141423,1897178,2017,02/10/2018 15:50,41.87392875,-87.75623214,"(41.873928748, -87.756232138)"
10811344,JA110654,01/10/2017 10:15,095XX S HALSTED ST,890,THEFT,FROM BUILDING,LIBRARY,FALSE,FALSE,2223,22,21,73,6,1172656,1841607,2017,02/10/2018 15:50,41.72080256,-87.64319753,"(41.720802556, -87.643197534)"
10811359,JA110544,01/10/2017 12:40,012XX S SPRINGFIELD AVE,2026,NARCOTICS,POSS: PCP,SIDEWALK,TRUE,FALSE,1011,10,24,29,18,1150575,1894138,2017,02/10/2018 15:50,41.86541287,-87.7227094,"(41.865412869, -87.722709399)"
